vm_id;type ;cpu_power_MIPS;lambda (s);beta (MB);gamma (MB);P_energy (Watts);distance (km);Dij (MBps);priorit�
1;Iot;10000;0,01;0,002;0,0005;65;5;80;faible
2;Fog;20000;0,02;0,003;0,0007;95;50;40;moyen
3;Cloud;8000;0,005;0,001;0,0004;40;150;10;fort 
4;Iot;9498;0,0127;0,0022;0,0005;58;3,9639;62,3233;faible
5;Iot;11464;0,0106;0,0022;0,0004;74;16,8164;68,4936;faible
6;Iot;8727;0,0081;0,0018;0,0005;63;6,5334;84,4741;faible
7;Iot;8557;0,0088;0,0019;0,0005;70;4,7938;80,5694;faible
8;Iot;10369;0,0073;0,0021;0,0004;56;19,0288;98,6253;faible
9;Iot;11233;0,0088;0,0016;0,0005;63;3,3187;79,8071;faible
10;Iot;8137;0,0125;0,0018;0,0005;61;10,8813;81,8684;faible
11;Iot;8739;0,0128;0,0023;0,0006;72;12,3601;96,875;faible
12;Iot;8353;0,0082;0,0015;0,0005;62;6,1556;93,1495;faible
13;Fog;18854;0,0178;0,003;0,0006;104;25,9641;59,4755;moyen
14;Fog;22177;0,017;0,0025;0,0008;101;78,3206;50,8508;moyen
15;Fog;16592;0,0186;0,0026;0,0008;98;46,4718;22,5423;moyen
16;Fog;18487;0,0183;0,0032;0,0007;106;57,7772;24,7838;moyen
17;Fog;21705;0,0226;0,0031;0,0008;94;61,8186;37,1016;moyen
18;Fog;16203;0,0161;0,0025;0,0007;89;60,6857;56,3027;moyen
19;Fog;17994;0,0191;0,0033;0,0006;82;43,1801;26,4489;moyen
20;Fog;23437;0,0231;0,0031;0,0008;104;34,9256;55,7024;moyen
21;Fog;20314;0,0231;0,0034;0,0007;83;38,2348;37,0843;moyen
22;Cloud;9272;0,0064;0,0007;0,0004;38;144,4216;6,798;fort
23;Cloud;7350;0,0068;0,0009;0,0004;44;172,7259;19,5767;fort
24;Cloud;9849;0,004;0,001;0,0004;35;107,3774;14,1435;fort
25;Cloud;8010;0,0032;0,0009;0,0005;34;128,979;12,3418;fort
26;Cloud;9942;0,004;0,0011;0,0005;34;245,6433;10,5167;fort
27;Cloud;8529;0,0055;0,001;0,0003;46;164,156;7,7978;fort
28;Cloud;6163;0,0054;0,0011;0,0003;40;145,2992;14,6776;fort
29;Cloud;6697;0,0058;0,0009;0,0005;32;168,2133;6,7021;fort
30;Cloud;9698;0,0065;0,0009;0,0004;46;211,0402;12,9448;fort
